City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
220,sakaiminato,35.55,133.2333,30.99,66,75,6.17,JP,1691533265
221,udachny,66.4167,112.4,16.36,62,10,1.81,RU,1691532716
222,zvishavane,-20.3267,30.0665,11.3,47,0,1.18,ZW,1691533265
223,zintan,31.9223,12.252,18.77,59,0,1.04,LY,1691533265
224,wotho,10.1657,166.0102,28.3,78,43,6.65,MH,1691532933
225,navarre,30.4016,-86.8636,34.19,69,0,1.34,US,1691533265
226,trairi,-3.2778,-39.2689,25.62,81,51,6.81,BR,1691533266
227,zapala,-38.8992,-70.0544,11.64,33,100,2.35,AR,1691533266
228,kargopol',61.5071,38.9456,16.38,85,0,2.75,RU,1691533266
229,kapa'a,22.0752,-159.319,33.99,74,100,8.23,US,1691533143
230,donggang,28.9365,114.2259,25.34,97,15,1.03,CN,1691533266
231,monroeville,40.4212,-79.7881,27.55,51,75,2.57,US,1691533266
232,vorkuta,67.5,64.0,9.33,75,100,3.06,RU,1691532935
233,rengasdengklok,-6.1592,107.2981,25.07,88,0,1.92,ID,1691533266
234,west valley,46.5921,-120.6051,31.2,37,0,3.6,US,1691533266
235,slavyanka,42.8633,131.3847,20.09,92,100,0.33,RU,1691533266
236,bamboo flat,11.7,92.7167,28.05,83,75,4.12,IN,1691532956
237,nuku'alofa,-21.1333,-175.2,25.19,88,75,1.03,TO,1691532953
238,happy valley-goose bay,53.3168,-60.3315,18.17,68,40,4.63,CA,1691532926
239,atherton,53.5237,-2.4935,14.01,84,100,1.86,GB,1691533267
240,amahai,-3.3333,128.9167,24.23,87,40,3.87,ID,1691532904
241,ola,59.5833,151.2833,11.75,57,10,1.87,RU,1691532911
242,salalah,17.0151,54.0924,26.05,94,100,3.09,OM,1691533267
243,mount pearl,47.5166,-52.7813,14.14,87,75,5.14,CA,1691532959
244,kegen,43.0197,79.2203,9.67,77,0,2.03,KZ,1691533267
245,mendoza,-32.8908,-68.8272,15.74,21,0,1.54,AR,1691533242
246,obock,12.25,43.0833,30.56,37,97,6.5,DJ,1691533267
247,yanykurgan,43.915,67.2481,26.43,35,0,1.98,KZ,1691533267
248,kununurra,-15.7667,128.7333,14.99,67,16,2.57,AU,1691533268
249,port-gentil,-0.7193,8.7815,23.98,83,20,4.12,GA,1691532915
250,puerto deseado,-47.7503,-65.8938,10.8,48,63,10.67,AR,1691533268
251,forster,-32.1667,152.5167,9.6,100,9,2.04,AU,1691532915
252,fereydunshahr,32.941,50.121,14.54,62,94,2.51,IR,1691533268
253,tippi,7.2,35.45,17.7,96,100,1.62,ET,1691533268
254,antalaha,-14.9003,50.2788,19.7,89,22,2.6,MG,1691533038
255,murakami,38.2333,139.4833,31.94,74,63,2.17,JP,1691533268
256,aguada de pasajeros,22.385,-80.8508,35.72,45,17,3.6,CU,1691533268
257,jayapura,-2.5333,140.7,23.66,88,35,2.06,ID,1691533268
258,genhe,50.7833,121.5167,13.95,72,99,1.46,CN,1691533268
259,codrington,-38.2667,141.9667,7.2,78,26,6.59,AU,1691532931
260,palu,-0.8917,119.8707,23.63,94,58,1.58,ID,1691532957
261,morgan city,29.6994,-91.2068,35.01,70,40,7.2,US,1691533269
262,northam,51.0333,-4.2167,15.9,97,100,3.43,GB,1691532918
263,uusikaupunki,60.8004,21.4084,15.58,77,14,10.97,FI,1691532978
264,makar'yev,57.8797,43.8069,15.37,82,0,2.71,RU,1691533269
265,la'ie,21.6477,-157.9253,31.98,67,6,4.92,US,1691532909
266,volcja draga,45.9069,13.6775,19.99,86,49,1.54,SI,1691533269
267,sultanah,24.4926,39.5857,35.25,8,0,1.54,SA,1691533269
268,isla mujeres,21.2311,-86.731,32.87,69,4,4.16,MX,1691533096
269,visby,57.6409,18.296,13.79,88,13,6.17,SE,1691533269
270,saint-laurent-du-maroni,5.5039,-54.0289,24.76,89,97,1.88,GF,1691533269
271,mahina,-17.5065,-149.489,24.87,88,75,1.54,PF,1691533149
272,hatton,6.8916,80.5955,16.52,93,100,1.02,LK,1691533269
273,kodinar,20.7903,70.7031,26.54,84,100,6.35,IN,1691533270
274,weno,7.4515,151.8468,29.97,79,100,0.0,FM,1691533271
275,tangalle,6.024,80.7911,25.14,88,100,4.24,LK,1691533271
276,papatowai,-46.5619,169.4708,5.45,86,100,7.76,NZ,1691533271
277,ishpeming,46.4885,-87.6676,25.27,55,83,0.5,US,1691533271
278,urangan,-25.3,152.9,17.49,68,13,5.6,AU,1691533271
279,berezovyy,51.6667,135.7,16.61,74,100,2.42,RU,1691533272
280,san pedro pochutla,15.7333,-96.4667,34.28,56,15,3.45,MX,1691532904
281,punta arenas,-53.15,-70.9167,1.56,85,88,2.23,CL,1691533105
282,timbuktu,16.7735,-3.0074,37.36,25,16,3.0,ML,1691533272
283,kone,-21.0595,164.8658,20.27,59,5,3.33,NC,1691532936
284,port mathurin,-19.6833,63.4167,22.44,65,14,9.9,MU,1691532939
285,bangassou,4.7413,22.8184,20.2,99,85,1.05,CF,1691533272
286,filingue,14.3521,3.3168,27.7,65,100,3.31,NE,1691533272
287,lushun,38.8,121.2667,25.12,81,10,4.67,CN,1691533272
288,yuzhno-kurilsk,44.0306,145.8556,17.97,100,100,2.97,RU,1691532935
289,portland,45.5234,-122.6762,31.66,44,20,4.12,US,1691533067
290,coxim,-18.5067,-54.76,30.92,25,1,1.16,BR,1691533273
291,luneville,48.6,6.5,17.94,72,100,2.95,FR,1691533273
292,bima,-8.4667,118.7167,20.93,93,11,1.72,ID,1691533216
293,corner brook,48.9667,-57.9484,20.09,64,48,2.09,CA,1691533274
294,arkhangel'sk,64.5401,40.5433,14.03,91,6,2.38,RU,1691533274
295,port hedland,-20.3167,118.5667,15.03,67,1,2.06,AU,1691532952
296,kisangani,0.5167,25.2,21.51,97,93,0.95,CD,1691532927
297,richfield,44.8833,-93.283,29.16,42,20,5.14,US,1691533274
298,sydney,-33.8679,151.2073,11.88,87,40,4.12,AU,1691532602
299,mili,6.0815,171.735,28.14,77,96,5.77,MH,1691533274
300,hithadhoo,-0.6,73.0833,27.36,75,100,2.26,MV,1691532913
301,klyuchi,52.2667,79.1667,18.37,46,42,0.72,RU,1691532907
302,zelenoborskiy,66.845,32.3622,12.59,86,13,2.49,RU,1691533274
303,puerto leguizamo,-0.1934,-74.7819,23.99,96,96,1.28,CO,1691533274
304,tesistan,20.7833,-103.4833,29.57,31,18,1.92,MX,1691533274
305,moussoro,13.6408,16.4901,27.16,68,81,5.18,TD,1691533275
306,bambanglipuro,-7.95,110.2833,20.77,89,14,1.67,ID,1691533275
307,pico truncado,-46.7949,-67.9573,10.15,43,100,8.7,AR,1691533275
308,mthatha,-31.5889,28.7844,10.31,87,39,2.06,ZA,1691533065
309,midvagur,62.0511,-7.1939,8.46,81,100,11.32,FO,1691533275
310,opuwo,-18.0607,13.84,17.58,30,5,2.08,NA,1691533275
311,howrah,22.5892,88.3103,27.0,94,75,1.54,IN,1691533275
312,tshabong,-26.05,22.45,14.23,19,72,3.41,BW,1691533275
313,aykhal,66.0,111.5,17.0,62,11,2.62,RU,1691533275
314,ancud,-41.8697,-73.8203,10.05,95,100,4.94,CL,1691532916
315,dolinsk,47.35,142.8,14.95,98,100,2.64,RU,1691533275
316,blakely,41.4809,-75.5946,21.3,86,100,2.06,US,1691533276
